,Data,Positivi,Positivi (previsione scenario 1),Positivi (previsione scenario 2),Ospedalizzati,Ospedalizzati (previsione scenario 1),Ospedalizzati (previsione scenario 2),Terapia Intensiva,Terapia Intensiva (previsione scenario 1),Terapia Intensiva (previsione scenario 2),Decessi giornalieri,Decessi giornalieri (previsione scenario 1),Decessi giornalieri (previsione scenario 2)
12,2020-10-18,118356.0,202495.23204949126,202495.23204949126,7881.0,7628.40699024115,7628.40699024115,750.0,604.1498816882207,604.1498816882207,58.714285714285715,106.15832986779424,106.15832986779424
13,2020-10-19,125530.0,220493.82305150363,220493.82305150363,8473.0,8323.49911539948,8323.49911539948,797.0,655.3556045525246,655.3556045525246,65.57142857142857,115.01106424404134,115.01106424404134
14,2020-10-20,133415.0,239306.98023559005,239306.98023559005,9324.0,9074.851134843391,9074.851134843391,870.0,712.1316445094346,712.1316445094346,77.57142857142857,124.8782121323602,124.8782121323602
15,2020-10-21,145459.0,258878.65873159014,258878.65873159014,9983.0,9881.255661427836,9881.255661427836,926.0,774.485149186658,774.485149186658,85.14285714285714,135.76464366258733,135.76464366258733
16,2020-10-22,158616.0,279141.0090192677,279141.0090192677,10686.0,10741.161371674792,10741.161371674792,992.0,842.3856982442517,842.3856982442517,90.28571428571429,147.66821819148026,147.66821819148026
17,2020-10-23,174404.0,300014.4100357859,300014.4100357859,11598.0,11652.623154573968,11652.623154573968,1049.0,915.7653738819515,915.7653738819515,105.14285714285714,160.57995884223783,160.57995884223783
18,2020-10-24,190767.0,321407.71202180855,321407.71202180855,12415.0,12613.260174018948,12613.260174018948,1128.0,994.5176292673348,994.5176292673348,113.57142857142857,174.48394745299447,174.48394745299447
19,2020-10-25,209027.0,343218.7002821224,343218.7002821224,13214.0,13620.222542118296,13620.222542118296,1208.0,1078.4954853073816,1078.4954853073816,123.28571428571429,189.35704641462507,189.35704641462507
20,2020-10-26,222403.0,365334.78555190767,365334.78555190767,14281.0,14670.167260590399,14670.167260590399,1284.0,1167.509449456787,1167.509449456787,142.14285714285714,205.16854045262153,205.16854045262153
21,2020-10-27,239724.0,387633.9211526601,387633.9211526601,15366.0,15759.244034652032,15759.244034652032,1411.0,1261.325481321912,1261.325481321912,153.28571428571428,221.87975586122775,221.87975586122775
22,2020-10-28,259940.0,409985.74086446385,409985.74086446385,16517.0,16883.091449814754,16883.091449814754,1536.0,1359.6632533971065,1359.6632533971065,164.85714285714286,239.44371215334832,239.44371215334832
23,2020-10-29,281576.0,432252.9049254125,432252.9049254125,17615.0,18036.84386455714,18036.84386455714,1651.0,1462.1949055260882,1462.1949055260882,180.28571428571428,257.8048464338135,257.8048464338135
24,2020-10-30,307046.0,454292.63514427113,454292.63514427113,18740.0,19215.14918490027,19215.14918490027,1746.0,1568.5444428355277,1568.5444428355277,201.14285714285714,276.89884293408977,276.89884293408977
25,2020-10-31,331577.0,475958.4136801612,475958.4136801612,19809.0,20412.19749227205,20412.19749227205,1843.0,1678.2878963143637,1678.2878963143637,212.57142857142858,296.65259093961504,296.65259093961504
26,2020-11-01,357288.0,497101.8144001154,497101.8144001154,20841.0,21621.760257784772,21621.760257784772,1939.0,1790.9543251438683,1790.9543251438683,225.71428571428572,316.9842905357218,316.9842905357218
27,2020-11-02,374650.0,517574.43094275857,517574.43094275857,21862.0,22837.239645999587,22837.239645999587,2022.0,1906.0277127012007,1906.0277127012007,244.57142857142858,337.8037159207088,337.8037159207088
28,2020-11-03,394803.0,537229.8611779193,537229.8611779193,23339.0,24051.727160941777,24051.727160941777,2225.0,2022.9497779428857,2022.9497779428857,263.14285714285717,359.0126458710729,359.0126458710729
29,2020-11-04,418827.0,555925.7051181416,555925.7051181416,24408.0,25258.070642296727,25258.070642296727,2292.0,2141.1236952094537,2141.1236952094537,295.7142857142857,380.50546154633776,380.50546154633776
30,2020-11-05,446701.0,573525.5323264559,573525.5323264559,25647.0,26448.94840763428,26448.94840763428,2391.0,2259.91868888435,2259.91868888435,331.0,402.1699066711735,402.1699066711735
31,2020-11-06,472598.0,589900.7747391968,589900.7747391968,26520.0,27616.949138827913,27616.949138827913,2515.0,2378.675444531831,2378.675444531831,349.2857142857143,423.88800229809567,423.88800229809567
32,2020-11-07,504793.0,604932.5016941711,604932.5016941711,27743.0,28754.655914072646,28754.655914072646,2634.0,2496.7122527401893,2496.7122527401893,366.85714285714283,445.5371061219994,445.5371061219994
33,2020-11-08,529447.0,618513.0392573124,618513.0392573124,29189.0,29854.73276198207,29854.73276198207,2749.0,2613.3317859145923,2613.3317859145923,384.42857142857144,466.99109102072543,466.99109102072543
34,2020-11-09,542849.0,630547.3973022613,630547.3973022613,30485.0,30910.01191224848,30910.01191224848,2849.0,2727.8283841877214,2727.8283841877214,416.85714285714283,488.12163347647584,488.12163347647584
35,2020-11-10,558506.0,640954.4730240852,640954.4730240852,31604.0,31913.579879689143,31913.579879689143,2971.0,2839.4957088039346,2839.4957088039346,458.0,508.7995855728004,508.7995855728004
36,2020-11-11,580833.0,649668.0113756349,649668.0113756349,32525.0,32858.860763137425,32858.860763137425,3081.0,2947.6346224321724,2947.6346224321724,485.2857142857143,528.8963904741104,528.8963904741104
37,2020-11-12,602011.0,656637.3031867032,656637.3031867032,33043.0,33739.69496789944,33739.69496789944,3170.0,3051.5611377599225,3051.5611377599225,500.14285714285717,548.2855372905251,548.2855372905251
38,2020-11-13,629782.0,661827.6128642687,661827.6128642687,34144.0,34550.411804612806,34550.411804612806,3230.0,3150.61427951099,3150.61427951099,517.1428571428571,566.8440018301626,566.8440018301626
39,2020-11-14,653731.0,665220.3343086117,665220.3343086117,34704.0,35285.89459251682,35285.89459251682,3306.0,3244.163703085751,3244.163703085751,547.8571428571429,584.4536681387908,584.4536681387908
40,2020-11-15,677021.0,666812.8801151327,666812.8801151327,35469.0,35941.63707352474,35941.63707352474,3422.0,3331.616924471882,3331.616924471882,569.0,601.0026855764081,601.0026855764081
41,2020-11-16,681756.0,666618.3163384392,666618.3163384392,36028.0,36513.79016932336,36513.79016932336,3492.0,3412.4260204619623,3412.4260204619623,590.5714285714286,616.3867439113965,616.3867439113965
42,2020-11-17,697124.0,664664.7600589042,664664.7600589042,36686.0,36999.19844618318,36999.19844618318,3612.0,3486.0936881188727,3486.0936881188727,609.1428571428571,630.5102471313148,630.5102471313148
43,2020-11-18,705994.0,660994.5658954685,660994.5658954685,37174.0,37395.4254560255,37395.4254560255,3670.0,3552.178502393642,3552.178502393642,611.5714285714286,643.2873317613703,643.2873317613703
44,2020-11-19,724349.0,655663.3236781033,655663.3236781033,37322.0,37700.76880659018,37700.76880659018,3712.0,3610.299395695961,3610.299395695961,632.8571428571429,654.6427772919924,654.6427772919924
45,2020-11-20,739471.0,648738.819815573,648738.819815573,37705.0,37914.26381946848,37914.26381946848,3748.0,3660.1391760614433,3660.1391760614433,654.0,664.5127299694941,664.5127299694941
46,2020-11-21,753925.0,640926.321330757,640926.321330757,37821.0,38037.45897118392,38037.45897118392,3758.0,3701.4597932509528,3701.4597932509528,656.2857142857143,672.8457340935202,672.8457340935202
47,2020-11-22,767867.0,632891.0972115368,632891.0972115368,38080.0,38079.040510137704,38079.040510137704,3801.0,3734.224493355808,3734.224493355808,674.2857142857143,679.6141640012574,679.6141640012574
48,2020-11-23,758342.0,624648.6346951396,624648.6346951396,38507.0,38048.34235602942,38048.34235602942,3810.0,3758.6513233195874,3758.6513233195874,691.7142857142857,684.8355805182946,684.8355805182946
49,2020-11-24,759993.0,616214.4071085588,616214.4071085588,38393.0,37953.55659983119,37953.55659983119,3816.0,3775.1276395312134,3775.1276395312134,687.2857142857143,688.5665640615334,688.5665640615334
50,2020-11-25,753536.0,607603.829719487,607603.829719487,38161.0,37801.88840758859,37801.88840758859,3848.0,3784.139228909712,3784.139228909712,711.4285714285714,690.8878121206217,690.8878121206217
51,2020-11-26,757961.0,598832.211826786,598832.211826786,37884.0,37599.68948423631,37599.68948423631,3846.0,3786.2214332029066,3786.2214332029066,729.7142857142857,691.893232829847,691.893232829847
52,2020-11-27,750427.0,589914.7115046098,589914.7115046098,37466.0,37352.572940163016,37352.572940163016,3782.0,3781.9259787482274,3781.9259787482274,728.8571428571429,691.6825618069124,691.6825618069124
53,2020-11-28,752247.0,580866.2930840906,580866.2930840906,37061.0,37065.512352127065,37065.512352127065,3762.0,3771.798987175622,3771.798987175622,725.8571428571429,690.3564177556618,690.3564177556618
54,2020-11-29,759139.0,571701.6875238761,571701.6875238761,36632.0,36742.92685647116,36742.92685647116,3753.0,3756.3671543169107,3756.3671543169107,731.8571428571429,688.012984229521,688.012984229521
55,2020-11-30,751540.0,562435.3557133599,562435.3557133599,36931.0,36388.75445097489,36388.75445097489,3744.0,3736.129407742885,3736.129407742885,722.1428571428571,684.7460777249871,684.7460777249871
56,2020-12-01,743471.0,553081.4547707516,553081.4547707516,36474.0,36006.5150236209,36006.5150236209,3663.0,3711.5524824164777,3711.5524824164777,716.7142857142857,680.6439887082015,680.6439887082015
