,date,variable,Germany,Israel,Italy,Spain,United Kingdom,United States
70,30-12-2020,Totale vaccinazioni,144907.0,822109.0,13465.0,,,2794588.0
71,30-12-2020,Totale vaccinazioni ogni cento abitanti,0.17,9.5,0.02,,,0.84
72,31-12-2020,Vaccinazioni giornaliere,39767.0,109624.0,7904.0,,52395.0,278776.0
73,31-12-2020,Vaccinazioni giornaliere ogni cento abitanti,0.0475,1.2665,0.0131,,0.0772,0.0834
74,31-12-2020,Totale vaccinazioni,182965.0,978687.0,38626.0,,,
75,31-12-2020,Totale vaccinazioni ogni cento abitanti,0.22,11.31,0.06,,,
76,01-01-2021,Vaccinazioni giornaliere,36712.0,114279.0,8506.0,,53752.0,302329.0
77,01-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.0438,1.3203,0.0141,,0.0792,0.0904
78,01-01-2021,Totale vaccinazioni,207458.0,1049265.0,49539.0,,,
79,01-01-2021,Totale vaccinazioni ogni cento abitanti,0.25,12.12,0.08,,,
80,02-01-2021,Vaccinazioni giornaliere,39055.0,119839.0,13402.0,,55109.0,325882.0
81,02-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.0466,1.3845,0.0222,,0.0812,0.0974
82,02-01-2021,Totale vaccinazioni,258228.0,1120214.0,87423.0,,,4225756.0
83,02-01-2021,Totale vaccinazioni ogni cento abitanti,0.31,12.94,0.14,,,1.26
84,03-01-2021,Vaccinazioni giornaliere,37070.0,126079.0,16461.0,,56467.0,336949.0
85,03-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.0442,1.4566,0.0272,,0.0832,0.1007
86,03-01-2021,Totale vaccinazioni,283387.0,1267251.0,122238.0,,1397251.0,
87,03-01-2021,Totale vaccinazioni ogni cento abitanti,0.34,14.64,0.2,,2.06,
88,04-01-2021,Vaccinazioni giornaliere,41220.0,127044.0,25990.0,,74537.0,348017.0
89,04-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.0492,1.4678,0.043,,0.1098,0.1041
90,04-01-2021,Totale vaccinazioni,332275.0,1407012.0,189894.0,82834.0,,4563260.0
91,04-01-2021,Totale vaccinazioni ogni cento abitanti,0.4,16.26,0.31,0.18,,1.36
92,05-01-2021,Vaccinazioni giornaliere,42466.0,122623.0,37120.0,56505.0,92608.0,339372.0
93,05-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.0507,1.4167,0.0614,0.1209,0.1364,0.1015
94,05-01-2021,Totale vaccinazioni,384411.0,1530013.0,268708.0,139339.0,,4836469.0
95,05-01-2021,Totale vaccinazioni ogni cento abitanti,0.46,17.68,0.44,0.3,,1.45
96,06-01-2021,Vaccinazioni giornaliere,42559.0,115526.0,45710.0,45248.0,110678.0,358887.0
97,06-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.0508,1.3347,0.0756,0.0968,0.163,0.1073
98,06-01-2021,Totale vaccinazioni,442822.0,1630792.0,333436.0,,,5306797.0
99,06-01-2021,Totale vaccinazioni ogni cento abitanti,0.53,18.84,0.55,,,1.59
100,07-01-2021,Vaccinazioni giornaliere,45477.0,109408.0,55134.0,41496.0,128749.0,378253.0
101,07-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.0543,1.264,0.0912,0.0888,0.1897,0.1131
102,07-01-2021,Totale vaccinazioni,501307.0,1744541.0,424564.0,207323.0,,5919418.0
103,07-01-2021,Totale vaccinazioni ogni cento abitanti,0.6,20.16,0.7,0.44,,1.77
104,08-01-2021,Vaccinazioni giornaliere,50543.0,108660.0,67093.0,48786.0,146819.0,419933.0
105,08-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.0603,1.2554,0.111,0.1043,0.2163,0.1256
106,08-01-2021,Totale vaccinazioni,561257.0,1809884.0,519192.0,277976.0,,6688231.0
107,08-01-2021,Totale vaccinazioni ogni cento abitanti,0.67,20.91,0.86,0.59,,2.0
108,09-01-2021,Vaccinazioni giornaliere,51360.0,104804.0,74026.0,47569.0,164890.0,461263.0
109,09-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.0613,1.2108,0.1224,0.1017,0.2429,0.1379
110,09-01-2021,Totale vaccinazioni,617747.0,1853840.0,605608.0,,,
111,09-01-2021,Totale vaccinazioni ogni cento abitanti,0.74,21.42,1.0,,,
