fascia_anagrafica,Maschi,Femmine
20-29,146.3,-147.03
30-39,139.46,-135.37
40-49,140.28,-143.1
50-59,157.38,-158.76
60-69,169.45,-165.94
70-79,180.55,-173.03
80-89,196.53,-182.66
90+,214.75,-191.19
