,date,variable,Germany,Israel,Italy,Spain,United Kingdom,United States
120,18-01-2021,Vaccinazioni giornaliere,77429.0,106396.0,69018.0,70264.0,268518.0,837595.0
121,18-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.0924,1.2292,0.1142,0.1503,0.3955,0.253
124,19-01-2021,Vaccinazioni giornaliere,79120.0,127580.0,62057.0,68282.0,286118.0,911493.0
125,19-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.0944,1.474,0.1026,0.146,0.4215,0.2754
128,20-01-2021,Vaccinazioni giornaliere,82933.0,143246.0,53034.0,63471.0,297294.0,892403.0
129,20-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.099,1.655,0.0877,0.1358,0.4379,0.2696
132,21-01-2021,Vaccinazioni giornaliere,81950.0,158458.0,44976.0,61016.0,310246.0,913912.0
133,21-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.0978,1.8307,0.0744,0.1305,0.457,0.2761
136,22-01-2021,Vaccinazioni giornaliere,84940.0,164520.0,36463.0,56696.0,331933.0,975540.0
137,22-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.1014,1.9007,0.0603,0.1213,0.489,0.2947
140,23-01-2021,Vaccinazioni giornaliere,89569.0,169975.0,33087.0,53971.0,362307.0,1057387.0
141,23-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.1069,1.9638,0.0547,0.1154,0.5337,0.3194
144,24-01-2021,Vaccinazioni giornaliere,92538.0,177974.0,32761.0,51247.0,361321.0,1122182.0
145,24-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.1104,2.0562,0.0542,0.1096,0.5322,0.339
148,25-01-2021,Vaccinazioni giornaliere,95651.0,182390.0,36472.0,48522.0,371761.0,1126251.0
149,25-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.1142,2.1072,0.0603,0.1038,0.5476,0.3403
152,26-01-2021,Vaccinazioni giornaliere,96597.0,181396.0,43114.0,46446.0,366883.0,1119058.0
153,26-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.1153,2.0957,0.0713,0.0993,0.5404,0.3381
156,27-01-2021,Vaccinazioni giornaliere,93318.0,179163.0,48769.0,47218.0,355173.0,1161050.0
157,27-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.1114,2.0699,0.0807,0.101,0.5232,0.3508
160,28-01-2021,Vaccinazioni giornaliere,93456.0,176156.0,56661.0,,,1235330.0
161,28-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.1115,2.0352,0.0937,,,0.3732
