,date,variable,Germany,Israel,Italy,Spain,United Kingdom,United States
134,15-01-2021,Totale vaccinazioni,1102150.0,2332432.0,1116735.0,768950.0,4023705.0,12279180.0
135,15-01-2021,Totale vaccinazioni ogni cento abitanti,1.32,26.95,1.85,1.64,5.93,3.67
138,16-01-2021,Totale vaccinazioni,1159486.0,2387775.0,1181999.0,,4322456.0,
139,16-01-2021,Totale vaccinazioni ogni cento abitanti,1.38,27.59,1.95,,6.37,
142,17-01-2021,Totale vaccinazioni,1207043.0,2540487.0,1219205.0,,4514802.0,
143,17-01-2021,Totale vaccinazioni ogni cento abitanti,1.44,29.35,2.02,,6.65,
146,18-01-2021,Totale vaccinazioni,1288949.0,2730228.0,1263238.0,897942.0,4723443.0,
147,18-01-2021,Totale vaccinazioni ogni cento abitanti,1.54,31.54,2.09,1.92,6.96,
150,19-01-2021,Totale vaccinazioni,1407750.0,2940345.0,1296390.0,966097.0,5070365.0,15707588.0
151,19-01-2021,Totale vaccinazioni ogni cento abitanti,1.68,33.97,2.14,2.07,7.47,4.7
154,20-01-2021,Totale vaccinazioni,1539923.0,3160286.0,1327357.0,1025937.0,5437284.0,16525281.0
155,20-01-2021,Totale vaccinazioni ogni cento abitanti,1.84,36.51,2.2,2.19,8.01,4.94
158,21-01-2021,Totale vaccinazioni,1644906.0,3393835.0,1363200.0,1103301.0,5849899.0,17546374.0
159,21-01-2021,Totale vaccinazioni ogni cento abitanti,1.96,39.21,2.25,2.36,8.62,5.25
162,22-01-2021,Totale vaccinazioni,1746527.0,3502473.0,1389940.0,1165825.0,6329968.0,19107959.0
163,22-01-2021,Totale vaccinazioni ogni cento abitanti,2.08,40.47,2.3,2.49,9.32,5.71
166,23-01-2021,Totale vaccinazioni,1833109.0,3595801.0,1429028.0,,6822981.0,20537990.0
167,23-01-2021,Totale vaccinazioni ogni cento abitanti,2.19,41.54,2.36,,10.05,6.14
170,24-01-2021,Totale vaccinazioni,1880401.0,3805083.0,1462898.0,1237593.0,7044048.0,21848655.0
171,24-01-2021,Totale vaccinazioni ogni cento abitanti,2.24,43.96,2.42,2.65,10.38,6.53
174,25-01-2021,Totale vaccinazioni,1971442.0,4024997.0,1531964.0,1291216.0,7325773.0,22734243.0
175,25-01-2021,Totale vaccinazioni ogni cento abitanti,2.35,46.5,2.53,2.76,10.79,6.8
178,26-01-2021,Totale vaccinazioni,2068979.0,4229553.0,1612324.0,1356461.0,7638543.0,23540994.0
179,26-01-2021,Totale vaccinazioni ogni cento abitanti,2.47,48.87,2.67,2.9,11.25,7.04
182,27-01-2021,Totale vaccinazioni,2178349.0,4431971.0,1683021.0,1395618.0,7953250.0,24652634.0
183,27-01-2021,Totale vaccinazioni ogni cento abitanti,2.6,51.2,2.78,2.98,11.72,7.37
186,28-01-2021,Totale vaccinazioni,2270625.0,4641681.0,1776542.0,1474189.0,8369438.0,26193682.0
