fascia_anagrafica;pop_maschile;pop_femminile
20-29;3192324;2964859
30-39;3500589;3452131
40-49;4495422;4544377
50-59;4656253;4844927
60-69;3554434;3870741
70-79;2753864;3252966
80-89;1446283;2201193
90+;217463;577109
