fascia_anagrafica,Maschi,Femmine
20-29,3.42,-7.24
30-39,5.18,-8.36
40-49,4.22,-8.69
50-59,5.37,-10.69
60-69,6.78,-6.09
70-79,2.7,-1.38
80-89,5.65,-6.72
90+,10.68,-19.09
